Ticker, Routing, Documentation, Label,Smallest unit Decimal (number)
GHOSTBLADE_ETH,GHOSTBLADE.ETH,GhostBlade Inu,GhostBlade Inu,9
NLA_ETH,NLA.ETH,No Limit Ape,No Limit Ape,18
AAA_ETH,AAA.ETH,AAAchain,AAAchain,10
IX_ETH,IX.ETH,X Block,X Block,18
POCC_ETH,POCC.ETH,POC Chain,POC Chain,18
TEP_ETH,TEP.ETH,Tepleton,Tepleton,8
DELTARLP_ETH,DELTARLP.ETH,Rebasing Liquidity,Rebasing Liquidity,18
SAITANOBI_ETH,SAITANOBI.ETH,Saitanobi,Saitanobi,9
XP_ETH,XP.ETH,PolkaFantasy,PolkaFantasy,18
SER_ETH,SER.ETH,SER,SER,9
MES_ETH,MES.ETH,MesChain,MesChain,8
CTT_ETH,CTT.ETH,Castweet,Castweet,18
TORN_ETH,TORN.ETH,Tornado Cash,Tornado Cash,18
ETHHALF_ETH,ETHHALF.ETH,0 5X Long Ethereum ,0 5X Long Ethereum ,0
SNC_ETH,SNC.ETH,SunContract,SunContract,18
ETGF_ETH,ETGF.ETH,ETG Finance,ETG Finance,18
MPLGR_ETH,MPLGR.ETH,Pledge Finance,Pledge Finance,18
EDU_ETH,EDU.ETH,Educoin,Educoin,18
YOU_ETH,YOU.ETH,YOU Chain,YOU Chain,18
GC_ETH,GC.ETH,Gric Coin,Gric Coin,18
JOOS_ETH,JOOS.ETH,JOOS Protocol,JOOS Protocol,18
ACDC_ETH,ACDC.ETH,Volt,Volt,18
WAVES_ETH,WAVES.ETH,Waves,Waves,18
CPROP_ETH,CPROP.ETH,CPROP,CPROP,18
FTXT_ETH,FTXT.ETH,FUTURAX,FUTURAX,8
HOLE_ETH,HOLE.ETH,Super Black Hole,Super Black Hole,18
POE_ETH,POE.ETH,Po et,Po et,8
HLX_ETH,HLX.ETH,Helex,Helex,5
IONC_ETH,IONC.ETH,IONChain,IONChain,18
GALA_ETH,GALA.ETH,Gala,Gala,8
TMT_ETH,TMT.ETH,Traxia,Traxia,18
BRILX_ETH,BRILX.ETH,BrillianceX,BrillianceX,18
OKBBULL_ETH,OKBBULL.ETH,3X Long OKB Token,3X Long OKB Token,18
TGT_ETH,TGT.ETH,THORWallet DEX,THORWallet DEX,18
ENTC_ETH,ENTC.ETH,EnterButton,EnterButton,18
IBAUD_ETH,IBAUD.ETH,Iron Bank AUD,Iron Bank AUD,18
UAC_ETH,UAC.ETH,Ulanco,Ulanco,18
GBPU_ETH,GBPU.ETH,Upper Pound,Upper Pound,18
GMAT_ETH,GMAT.ETH,GoWithMi,GoWithMi,18
ARAW_ETH,ARAW.ETH,ARAW Token,ARAW Token,18
SIN_ETH,SIN.ETH,Sins Finance,Sins Finance,9
BBS_ETH,BBS.ETH,BBS Network,BBS Network,18
DMX_ETH,DMX.ETH,Dymmax,Dymmax,18
TPT_ETH,TPT.ETH,Token Pocket,Token Pocket,4
GDR_ETH,GDR.ETH,Guider,Guider,18
ALY_ETH,ALY.ETH,Ally,Ally,2
NOONE_ETH,NOONE.ETH,No One,No One,9
VEGI_ETH,VEGI.ETH,Vegeta Inu,Vegeta Inu,18
IDLEUSDTSAFE_ETH,IDLEUSDTSAFE.ETH,IdleUSDT  Risk Adju,IdleUSDT  Risk Adju,18
OMNIA_ETH,OMNIA.ETH,Omnia,Omnia,18
FLETA_ETH,FLETA.ETH,FLETA,FLETA,18
WNK_ETH,WNK.ETH,The Winkyverse,The Winkyverse,18
GW_ETH,GW.ETH,GW,GW,9
TREKS_ETH,TREKS.ETH,PlayTreks,PlayTreks,18
